country,category,sector,symbol,name
India,stock,Consumer Discretionary,HEROMOTOCO.BO,Hero MotoCorp Ltd
India,stock,Information Technology,INFY.BO,Infosys Ltd
India,stock,Materials,RELIANCE.BO,Reliance Industries Ltd
India,stock,Materials,TATASTEEL.BO,Tata Steel Ltd
India,stock,Industrials,LT.BO,Larsen & Toubro Ltd
India,stock,Consumer Discretionary,M&M.BO,Mahindra & Mahindra Ltd
India,stock,Consumer Staples,HINDUNILVR.BO,Hindustan Unilever Ltd
India,stock,Consumer Staples,NESTLEIND.BO,Nestle India Ltd
India,stock,Real Estate,ULTRACEMCO.BO,UltraTech Cement Ltd
India,stock,Consumer Discretionary,BAJAJ-AUTO.BO,Bajaj Auto Ltd
India,stock,Consumer Discretionary,ASIANPAINT.BO,Asian Paints Ltd
India,stock,Financials,AXISBANK.BO,Axis Bank Ltd
India,stock,Telecom,BHARTIARTL.BO,Bharti Airtel Ltd
India,stock,Information Technology,HCLTECH.BO,HCL Technologies Ltd
India,stock,Financials,HDFCBANK.BO,HDFC Bank Ltd
India,stock,Financials,HDFC.BO,Housing Development Finance Corp
India,stock,Financials,ICICIBANK.BO,ICICI Bank Ltd
India,stock,Financials,INDUSINDBK.BO,IndusInd Bank Ltd
India,stock,Consumer Staples,ITC.BO,ITC Ltd
India,stock,Financials,KOTAKBANK.BO,Kotak Mahindra Bank Ltd
India,stock,Consumer Discretionary,MARUTI.BO,Maruti Suzuki India Ltd
India,stock,Energy,NTPC.BO,NTPC Ltd
India,stock,Energy,ONGC.BO,Oil & Natural Gas Corp Ltd
India,stock,Energy,POWERGRID.BO,Power Grid Corp of India Ltd
India,stock,Health Care,SUNPHARMA.BO,Sun Pharmaceutical Industries Ltd
India,stock,Information Technology,TCS.BO,Tata Consultancy Services Ltd
India,stock,Information Technology,TECHM.BO,Tech Mahindra Ltd
India,stock,Consumer Discretionary,TITAN.BO,Titan Co Ltd
